Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
FY73682,California,19606.35999,No,Basic,Bachelor,2/21/2011,Unemployed,M,0,Suburban,Single,194,0,22,0,2,Personal Auto,Personal L2,Offer1,Agent,931.20,Luxury SUV,Medsize
XT54610,California,1904.000852,No,Basic,Bachelor,1/14/2011,Unemployed,F,0,Suburban,Single,63,22,7,3,1,Personal Auto,Personal L1,Offer1,Agent,302.40,Four-Door Car,Medsize
CE16324,Nevada,7288.297591,No,Extended,College,1/24/2011,Employed,F,59414,Urban,Married,91,23,21,0,3,Personal Auto,Personal L3,Offer1,Call Center,340.32,Two-Door Car,Medsize
KX75698,Oregon,5553.521059,No,Extended,High School or Below,1/8/2011,Employed,M,96587,Suburban,Married,138,31,99,0,1,Personal Auto,Personal L3,Offer2,Agent,749.24,SUV,Medsize
UV82770,California,11702.34819,No,Basic,Bachelor,1/11/2011,Unemployed,M,0,Suburban,Divorced,111,15,12,0,2,Personal Auto,Personal L1,Offer3,Call Center,532.80,SUV,Medsize
MX95450,Oregon,36897.79765,No,Extended,College,2/26/2011,Unemployed,F,0,Suburban,Single,133,0,59,0,2,Personal Auto,Personal L3,Offer1,Agent,638.40,SUV,Medsize
XF96605,California,2957.102851,No,Basic,College,1/25/2011,Employed,M,94362,Urban,Divorced,74,21,96,0,1,Personal Auto,Personal L2,Offer1,Agent,195.41,Two-Door Car,Large
WQ75856,Oregon,19643.54421,No,Basic,Bachelor,1/12/2011,Employed,F,84488,Urban,Married,61,33,71,0,2,Personal Auto,Personal L1,Offer1,Agent,208.89,Four-Door Car,Medsize
JG35886,California,4111.888285,No,Premium,College,1/21/2011,Employed,F,65085,Urban,Married,103,20,55,0,1,Personal Auto,Personal L2,Offer2,Call Center,480.07,Four-Door Car,Medsize
XY66810,California,15122.99194,No,Basic,Bachelor,2/9/2011,Unemployed,F,0,Suburban,Single,72,35,86,0,2,Personal Auto,Personal L3,Offer2,Agent,518.40,Two-Door Car,Medsize
ON50913,California,12807.09083,No,Basic,College,1/14/2011,Unemployed,F,0,Suburban,Married,69,32,21,0,2,Special Auto,Special L2,Offer1,Agent,450.76,Four-Door Car,Small
LS59408,Arizona,2500.241685,No,Basic,High School or Below,1/20/2011,Unemployed,M,0,Suburban,Married,67,4,44,0,1,Personal Auto,Personal L3,Offer2,Call Center,664.13,Four-Door Car,Small
XQ14689,Nevada,4260.709139,No,Basic,College,2/14/2011,Unemployed,M,0,Suburban,Single,62,1,73,0,3,Personal Auto,Personal L3,Offer1,Agent,446.40,Four-Door Car,Small
QF55724,California,2609.533154,No,Basic,Bachelor,2/20/2011,Employed,M,60798,Suburban,Married,66,21,57,0,1,Personal Auto,Personal L3,Offer2,Call Center,316.80,Four-Door Car,Medsize
FD79560,Arizona,10796.44832,No,Basic,High School or Below,1/9/2011,Employed,F,30761,Suburban,Divorced,69,16,16,2,2,Special Auto,Special L3,Offer1,Branch,331.20,Two-Door Car,Small
KM18818,Arizona,2590.654042,No,Basic,College,2/21/2011,Employed,F,25981,Rural,Married,65,33,38,0,1,Personal Auto,Personal L3,Offer1,Agent,77.55,Two-Door Car,Large
XA28126,California,29199.81072,No,Premium,Bachelor,2/12/2011,Employed,M,67739,Rural,Divorced,149,4,76,0,2,Personal Auto,Personal L3,Offer1,Agent,270.37,SUV,Medsize
LJ93770,Arizona,4194.659772,No,Basic,Doctor,1/29/2011,Employed,F,25581,Urban,Married,105,9,21,0,1,Personal Auto,Personal L3,Offer2,Branch,429.70,SUV,Medsize
MK52711,California,10314.52484,No,Basic,High School or Below,1/11/2011,Employed,F,99759,Rural,Married,65,12,25,3,2,Personal Auto,Personal L2,Offer2,Agent,74.46,Two-Door Car,Medsize
AZ68184,Washington,9028.307862,No,Basic,High School or Below,1/18/2011,Employed,M,76514,Suburban,Married,112,19,0,0,3,Personal Auto,Personal L3,Offer4,Agent,573.94,SUV,Medsize
NN52789,Arizona,3954.344534,Yes,Basic,Bachelor,2/25/2011,Disabled,M,18375,Suburban,Married,103,8,50,0,1,Personal Auto,Personal L2,Offer1,Branch,535.08,Sports Car,Large
XC68458,California,6089.517361,No,Extended,Bachelor,1/20/2011,Medical Leave,M,21832,Suburban,Single,84,29,39,0,3,Personal Auto,Personal L2,Offer1,Web,403.20,Four-Door Car,Small
AF49027,Arizona,12827.42831,No,Premium,College,2/26/2011,Unemployed,F,0,Suburban,Single,117,25,43,0,2,Personal Auto,Personal L3,Offer1,Agent,842.40,Two-Door Car,Medsize
PR22184,California,9135.291575,No,Basic,College,1/13/2011,Employed,F,95330,Suburban,Married,113,1,1,0,3,Corporate Auto,Corporate L2,Offer4,Branch,542.40,Sports Car,Medsize
GM98732,California,7902.681227,No,Basic,College,1/26/2011,Unemployed,F,0,Suburban,Married,106,21,25,0,9,Personal Auto,Personal L2,Offer1,Agent,634.40,SUV,Small
NP66209,California,14827.91055,No,Basic,College,2/8/2011,Unemployed,F,0,Suburban,Married,68,31,69,2,2,Personal Auto,Personal L3,Offer2,Call Center,326.40,Two-Door Car,Medsize
GA46608,Oregon,2500.834374,No,Basic,Bachelor,2/21/2011,Employed,M,25899,Suburban,Married,63,20,36,0,1,Personal Auto,Personal L1,Offer3,Agent,302.40,Four-Door Car,Medsize
FZ79470,Arizona,5395.346288,No,Basic,Bachelor,2/24/2011,Unemployed,F,0,Suburban,Married,74,13,30,0,4,Personal Auto,Personal L2,Offer3,Web,355.20,Four-Door Car,Medsize
KR10942,Oregon,2651.615963,No,Basic,Bachelor,1/21/2011,Employed,F,33201,Urban,Married,66,9,56,0,1,Personal Auto,Personal L3,Offer4,Branch,314.04,Two-Door Car,Medsize
AW86033,California,2119.894333,No,Basic,College,1/13/2011,Disabled,M,18287,Suburban,Married,61,6,56,4,1,Personal Auto,Personal L2,Offer1,Agent,292.80,Two-Door Car,Medsize
LM79063,Arizona,7155.471967,No,Extended,Doctor,2/13/2011,Employed,F,76506,Suburban,Divorced,89,35,65,0,8,Personal Auto,Personal L3,Offer2,Call Center,427.20,Two-Door Car,Small
NB30963,California,5994.226432,No,Extended,High School or Below,2/19/2011,Employed,M,41859,Rural,Married,76,18,58,0,5,Personal Auto,Personal L3,Offer1,Agent,166.13,Two-Door Car,Large
AO40386,Oregon,22647.21772,No,Extended,College,1/25/2011,Retired,M,27504,Suburban,Divorced,91,26,45,0,2,Personal Auto,Personal L2,Offer2,Branch,436.80,Four-Door Car,Small
BN74259,Arizona,2833.797966,No,Basic,High School or Below,2/21/2011,Employed,M,45360,Suburban,Divorced,73,16,71,0,1,Corporate Auto,Corporate L1,Offer2,Branch,350.40,Four-Door Car,Medsize
XV69290,California,22332.43946,Yes,Extended,College,1/11/2011,Employed,M,49078,Suburban,Single,97,10,3,0,2,Corporate Auto,Corporate L2,Offer2,Branch,484.01,Four-Door Car,Medsize
RE97741,California,5846.41534,No,Extended,High School or Below,2/12/2011,Unemployed,M,0,Suburban,Single,90,16,66,2,6,Personal Auto,Personal L1,Offer2,Agent,648.00,Four-Door Car,Medsize
HN69035,Arizona,2867.211836,No,Basic,College,2/15/2011,Employed,F,91810,Rural,Married,71,27,43,0,1,Corporate Auto,Corporate L2,Offer3,Web,165.52,Four-Door Car,Medsize
SI48717,Oregon,14435.66453,No,Extended,College,2/20/2011,Employed,M,70600,Suburban,Divorced,122,26,5,1,2,Personal Auto,Personal L3,Offer2,Call Center,636.98,SUV,Medsize
PJ67250,Arizona,5237.477743,No,Extended,College,1/19/2011,Employed,F,33554,Suburban,Married,131,25,36,0,1,Special Auto,Special L2,Offer1,Agent,934.66,SUV,Medsize
SH85263,California,7710.912153,No,Basic,Bachelor,1/15/2011,Employed,M,77642,Urban,Married,64,20,14,0,2,Personal Auto,Personal L3,Offer1,Branch,282.15,Two-Door Car,Large
WV37081,California,5158.576449,No,Basic,College,1/13/2011,Employed,M,25963,Urban,Married,66,11,35,0,9,Personal Auto,Personal L3,Offer2,Web,298.95,Four-Door Car,Medsize
No61408,California,5414.897604,No,Extended,Bachelor,2/23/2011,Employed,F,57452,Suburban,Married,136,25,10,1,1,Personal Auto,Personal L1,Offer1,Branch,652.80,SUV,Large
DE91458,Washington,2903.749709,No,Extended,Master,1/10/2011,Unemployed,F,0,Suburban,Married,77,15,89,0,1,Personal Auto,Personal L3,Offer2,Web,491.66,Four-Door Car,Medsize
EP83939,Arizona,5575.751228,No,Basic,High School or Below,1/26/2011,Employed,M,91416,Rural,Married,69,4,39,0,5,Personal Auto,Personal L3,Offer2,Call Center,109.90,Four-Door Car,Medsize
IU17657,California,2616.409509,No,Basic,Bachelor,1/30/2011,Disabled,M,22000,Suburban,Married,69,27,36,0,1,Personal Auto,Personal L3,Offer2,Web,383.22,Two-Door Car,Medsize
EO95166,Oregon,4617.838205,No,Premium,Bachelor,1/27/2011,Employed,M,41167,Urban,Divorced,118,16,4,0,1,Personal Auto,Personal L2,Offer1,Branch,554.96,Four-Door Car,Large
KX79225,Oregon,20123.86854,No,Basic,High School or Below,1/26/2011,Unemployed,M,0,Suburban,Single,70,18,23,0,2,Personal Auto,Personal L2,Offer1,Call Center,504.00,Four-Door Car,Small
EZ60033,California,3200.795405,No,Extended,Bachelor,1/12/2011,Unemployed,F,0,Suburban,Married,86,8,37,0,1,Corporate Auto,Corporate L2,Offer1,Branch,412.80,Four-Door Car,Small
KK58047,Oregon,8583.854913,No,Basic,College,1/31/2011,Employed,M,53944,Suburban,Married,71,13,20,0,2,Personal Auto,Personal L3,Offer2,Web,340.80,Two-Door Car,Medsize
JW62354,Nevada,4349.30875,Yes,Basic,College,2/10/2011,Employed,F,75648,Rural,Married,108,28,10,0,1,Personal Auto,Personal L1,Offer2,Branch,112.66,SUV,Large
TT18939,California,4729.593583,No,Basic,Bachelor,1/5/2011,Medical Leave,M,29414,Rural,Divorced,64,2,32,0,3,Personal Auto,Personal L2,Offer3,Branch,71.30,Four-Door Car,Medsize
IJ21010,Arizona,5015.009472,Yes,Extended,Bachelor,2/3/2011,Employed,F,48567,Suburban,Single,130,12,15,0,1,Personal Auto,Personal L2,Offer2,Agent,624.00,SUV,Medsize
PZ31902,Arizona,5797.604861,No,Basic,Bachelor,2/22/2011,Employed,F,69276,Urban,Married,74,14,22,2,8,Personal Auto,Personal L3,Offer4,Web,201.33,Two-Door Car,Medsize
WD88540,California,3475.07136,No,Extended,High School or Below,1/20/2011,Unemployed,M,0,Suburban,Married,96,6,60,0,1,Personal Auto,Personal L1,Offer4,Web,460.80,Two-Door Car,Large
IL67915,Arizona,8542.218196,No,Premium,College,2/12/2011,Employed,F,50117,Urban,Single,107,13,98,0,4,Corporate Auto,Corporate L2,Offer1,Branch,462.65,Four-Door Car,Medsize
VQ76590,Arizona,16473.16905,Yes,Basic,Bachelor,2/24/2011,Retired,M,22828,Suburban,Married,106,11,54,0,2,Personal Auto,Personal L1,Offer1,Agent,508.80,SUV,Medsize
FJ60600,Oregon,6776.353402,No,Extended,High School or Below,2/26/2011,Unemployed,F,0,Suburban,Single,96,0,38,0,3,Personal Auto,Personal L3,Offer1,Agent,818.73,Four-Door Car,Small
MP53132,Oregon,9713.156737,No,Extended,High School or Below,2/11/2011,Unemployed,F,0,Suburban,Single,136,7,34,0,3,Corporate Auto,Corporate L3,Offer1,Agent,979.20,SUV,Large
XP96549,Oregon,4429.193391,No,Basic,High School or Below,2/19/2011,Employed,F,20868,Suburban,Married,112,14,11,0,1,Personal Auto,Personal L3,Offer2,Branch,537.60,SUV,Large
VC34797,California,2435.535995,No,Basic,Bachelor,1/27/2011,Employed,F,40921,Rural,Married,62,0,50,2,1,Corporate Auto,Corporate L2,Offer3,Agent,10.56,Four-Door Car,Medsize
QV30663,Nevada,9863.502214,No,Extended,Master,2/28/2011,Employed,F,99654,Rural,Married,121,13,95,0,3,Personal Auto,Personal L3,Offer3,Call Center,272.79,SUV,Medsize
AK90865,Oregon,8207.858272,No,Basic,High School or Below,2/22/2011,Unemployed,F,0,Suburban,Single,110,16,17,0,5,Special Auto,Special L2,Offer2,Agent,686.91,Sports Car,Medsize
BX51438,Arizona,2781.446975,No,Basic,Bachelor,2/23/2011,Employed,M,56218,Urban,Married,72,17,74,2,1,Personal Auto,Personal L1,Offer4,Web,302.94,Four-Door Car,Medsize
DU38713,Arizona,5807.994569,No,Basic,High School or Below,2/4/2011,Employed,F,70717,Rural,Married,72,20,89,0,5,Personal Auto,Personal L1,Offer2,Call Center,37.29,Two-Door Car,Medsize
WQ13284,California,8395.272249,No,Basic,College,1/13/2011,Employed,M,62989,Urban,Divorced,71,3,18,1,2,Personal Auto,Personal L2,Offer1,Web,319.13,Four-Door Car,Medsize
JB36584,Arizona,14333.92489,No,Basic,Master,2/4/2011,Employed,M,41459,Suburban,Married,71,8,4,0,2,Personal Auto,Personal L3,Offer2,Call Center,340.80,Four-Door Car,Medsize
WQ23548,California,11003.54385,No,Basic,Master,2/22/2011,Unemployed,F,0,Suburban,Single,102,20,7,1,2,Personal Auto,Personal L2,Offer4,Web,489.60,SUV,Medsize
WZ98067,Oregon,4049.807215,No,Premium,College,1/9/2011,Employed,M,42512,Rural,Married,105,15,72,1,1,Personal Auto,Personal L2,Offer3,Agent,77.48,Four-Door Car,Medsize
AQ11656,Arizona,2141.750757,No,Basic,Bachelor,2/8/2011,Unemployed,M,0,Suburban,Married,61,5,90,0,1,Personal Auto,Personal L2,Offer4,Call Center,437.04,Four-Door Car,Medsize
KL14426,Nevada,5079.843625,No,Extended,Doctor,1/11/2011,Employed,F,83288,Urban,Married,124,18,70,0,1,Personal Auto,Personal L3,Offer1,Agent,353.40,SUV,Medsize
PG48617,California,2895.522489,No,Basic,High School or Below,1/3/2011,Employed,M,46267,Urban,Married,72,4,73,0,1,Personal Auto,Personal L3,Offer2,Call Center,231.97,Four-Door Car,Medsize
QB24570,Oregon,9031.214859,Yes,Extended,Master,2/23/2011,Unemployed,F,0,Suburban,Single,122,15,47,0,9,Corporate Auto,Corporate L3,Offer1,Branch,650.52,Sports Car,Medsize
NI68379,Oregon,6554.390004,No,Extended,Master,1/17/2011,Employed,M,74424,Suburban,Married,81,26,74,0,9,Personal Auto,Personal L1,Offer2,Agent,388.80,Four-Door Car,Medsize
RS92763,Oregon,7487.744636,No,Basic,College,2/16/2011,Unemployed,F,0,Suburban,Single,72,15,70,0,2,Personal Auto,Personal L2,Offer2,Branch,693.08,Four-Door Car,Medsize
PA75237,Nevada,15118.89548,No,Basic,Doctor,2/4/2011,Employed,M,58883,Suburban,Married,62,1,47,0,2,Corporate Auto,Corporate L2,Offer2,Branch,432.48,Two-Door Car,Medsize
LR35392,Oregon,9007.431501,No,Premium,High School or Below,2/25/2011,Employed,M,41539,Suburban,Single,116,11,35,0,3,Personal Auto,Personal L2,Offer1,Web,556.80,Four-Door Car,Medsize
KC22636,California,5488.931031,No,Basic,High School or Below,2/17/2011,Employed,F,33881,Rural,Married,68,11,83,0,9,Personal Auto,Personal L3,Offer2,Web,65.66,Four-Door Car,Large
IJ98317,California,7234.142952,No,Extended,Bachelor,2/24/2011,Employed,F,86448,Rural,Married,90,25,79,0,6,Personal Auto,Personal L3,Offer3,Agent,59.85,Four-Door Car,Medsize
DY49235,Arizona,5205.751205,No,Basic,College,1/10/2011,Disabled,F,25237,Suburban,Divorced,69,23,52,0,9,Personal Auto,Personal L3,Offer2,Agent,378.35,Four-Door Car,Medsize
EG94409,Nevada,4697.152892,No,Basic,High School or Below,1/12/2011,Unemployed,F,0,Suburban,Single,67,10,75,0,7,Special Auto,Special L2,Offer2,Branch,482.40,Four-Door Car,Medsize
GB59748,Arizona,6207.171358,No,Extended,College,1/2/2011,Employed,F,49419,Urban,Married,77,3,34,0,4,Personal Auto,Personal L2,Offer2,Web,203.30,Four-Door Car,Medsize
MP68135,Oregon,6615.815683,No,Extended,College,2/7/2011,Employed,M,90414,Suburban,Married,83,7,49,1,6,Personal Auto,Personal L2,Offer1,Call Center,398.40,Four-Door Car,Small
CZ56843,California,9708.504642,No,Extended,College,1/19/2011,Employed,M,39930,Suburban,Single,86,22,64,1,2,Personal Auto,Personal L1,Offer1,Call Center,412.80,Four-Door Car,Medsize
DJ47372,California,10831.13004,No,Extended,Doctor,2/1/2011,Disabled,M,23202,Suburban,Divorced,96,29,59,0,2,Personal Auto,Personal L1,Offer3,Call Center,460.80,Four-Door Car,Medsize
XZ51937,California,4626.801093,Yes,Basic,Master,1/16/2011,Employed,F,79487,Suburban,Divorced,114,20,87,0,1,Personal Auto,Personal L1,Offer2,Branch,547.20,SUV,Medsize
IZ27630,Oregon,6748.231188,No,Extended,Master,1/11/2011,Employed,M,68423,Urban,Single,85,14,81,0,7,Personal Auto,Personal L2,Offer2,Branch,324.41,Two-Door Car,Large
IM14119,Arizona,2542.06388,No,Basic,Bachelor,2/3/2011,Employed,F,84495,Suburban,Married,63,15,61,0,1,Special Auto,Special L3,Offer2,Branch,302.40,Two-Door Car,Small
PN53766,California,5450.394878,No,Basic,Doctor,1/14/2011,Employed,M,43091,Urban,Married,69,2,36,1,6,Corporate Auto,Corporate L3,Offer1,Branch,330.14,Four-Door Car,Medsize
DQ93036,Arizona,7243.865476,No,Extended,High School or Below,1/11/2011,Employed,M,41951,Rural,Married,91,30,56,0,7,Personal Auto,Personal L1,Offer1,Branch,40.54,Four-Door Car,Medsize
WA70405,Nevada,8306.550901,No,Basic,College,1/13/2011,Employed,M,89834,Suburban,Single,105,17,14,0,3,Personal Auto,Personal L3,Offer3,Agent,504.00,SUV,Medsize
NF51705,Nevada,2734.514945,No,Basic,High School or Below,1/9/2011,Employed,M,92157,Urban,Single,69,19,33,0,1,Corporate Auto,Corporate L3,Offer2,Branch,270.38,Two-Door Car,Medsize
LR37068,Oregon,11030.66148,No,Extended,College,1/10/2011,Employed,F,35773,Suburban,Married,93,25,89,0,2,Personal Auto,Personal L3,Offer1,Web,446.40,Four-Door Car,Small
EC18611,Nevada,3402.39442,No,Extended,High School or Below,2/16/2011,Unemployed,M,0,Suburban,Single,99,16,20,0,1,Personal Auto,Personal L2,Offer1,Agent,475.20,Two-Door Car,Medsize
NP88319,Oregon,6945.016955,No,Basic,High School or Below,2/2/2011,Disabled,F,15850,Suburban,Married,61,28,14,0,2,Corporate Auto,Corporate L3,Offer4,Call Center,314.53,Two-Door Car,Medsize
AA11235,Nevada,2568.843396,No,Basic,Bachelor,1/28/2011,Medical Leave,F,11167,Suburban,Married,73,0,99,3,1,Personal Auto,Personal L3,Offer2,Branch,350.40,Two-Door Car,Medsize
DL55489,Oregon,5764.648599,No,Basic,High School or Below,2/5/2011,Employed,M,21195,Suburban,Married,72,23,10,0,9,Corporate Auto,Corporate L2,Offer3,Web,345.60,Four-Door Car,Medsize
UU53919,Oregon,5403.546122,No,Basic,Master,1/14/2011,Employed,F,27430,Urban,Married,68,25,12,0,4,Personal Auto,Personal L2,Offer3,Call Center,184.96,Two-Door Car,Medsize
JI11950,California,4899.231772,No,Basic,High School or Below,2/18/2011,Unemployed,F,0,Suburban,Married,63,21,78,0,7,Personal Auto,Personal L3,Offer1,Agent,302.40,Two-Door Car,Medsize
QB82117,Oregon,9048.983447,Yes,Basic,High School or Below,1/24/2011,Unemployed,M,0,Suburban,Married,119,9,8,0,3,Personal Auto,Personal L2,Offer2,Web,571.20,Sports Car,Medsize
MR33456,Washington,8093.898245,No,Basic,High School or Below,2/13/2011,Employed,M,59839,Suburban,Single,107,8,52,2,8,Personal Auto,Personal L2,Offer2,Agent,513.60,SUV,Medsize
YN17362,California,2496.766693,No,Basic,College,2/13/2011,Unemployed,M,0,Suburban,Single,73,13,33,0,1,Corporate Auto,Corporate L3,Offer1,Agent,350.40,Two-Door Car,Medsize
UR73910,California,2602.24525,No,Basic,College,1/25/2011,Employed,M,38166,Urban,Married,67,25,5,1,1,Corporate Auto,Corporate L2,Offer4,Agent,236.84,Four-Door Car,Medsize
KG63751,Washington,6751.437153,No,Extended,High School or Below,2/23/2011,Unemployed,M,0,Suburban,Married,95,14,78,0,9,Personal Auto,Personal L3,Offer1,Agent,456.00,Four-Door Car,Small
NK39001,Oregon,3621.68883,No,Extended,Bachelor,2/9/2011,Medical Leave,F,13457,Urban,Married,94,31,28,0,1,Personal Auto,Personal L3,Offer3,Branch,285.83,Two-Door Car,Large
HR85493,California,6896.088021,No,Basic,College,1/10/2011,Unemployed,M,0,Suburban,Single,68,10,53,0,2,Personal Auto,Personal L3,Offer3,Agent,326.40,Two-Door Car,Medsize
QC50643,California,5438.696611,No,Extended,Bachelor,1/25/2011,Employed,F,52721,Urban,Married,136,34,29,0,1,Personal Auto,Personal L3,Offer1,Branch,550.13,SUV,Medsize
LO90345,Oregon,14472.583,No,Basic,College,2/24/2011,Employed,F,22012,Rural,Married,185,5,69,0,5,Corporate Auto,Corporate L3,Offer2,Web,75.70,Luxury SUV,Small
WK64739,Arizona,2359.423599,Yes,Basic,Bachelor,1/11/2011,Disabled,F,19864,Suburban,Divorced,63,22,96,0,1,Corporate Auto,Corporate L3,Offer1,Web,352.39,Four-Door Car,Medsize
QK88438,Arizona,5323.267311,No,Basic,College,2/19/2011,Employed,F,55289,Rural,Single,67,10,71,0,3,Personal Auto,Personal L3,Offer2,Agent,134.12,Four-Door Car,Medsize
QX42433,California,7390.903278,No,Extended,College,2/24/2011,Employed,M,30449,Suburban,Married,92,23,47,0,3,Personal Auto,Personal L3,Offer1,Agent,501.09,Four-Door Car,Medsize
BH52611,California,11447.5071,No,Premium,Bachelor,1/14/2011,Employed,F,27362,Urban,Married,144,23,28,0,8,Personal Auto,Personal L2,Offer1,Branch,422.78,SUV,Medsize
SA77508,Oregon,5754.853121,No,Basic,High School or Below,2/3/2011,Employed,F,29460,Rural,Married,72,3,18,0,5,Personal Auto,Personal L3,Offer2,Branch,29.30,Four-Door Car,Large
HD99234,Oregon,10244.2435,No,Extended,College,2/19/2011,Unemployed,F,0,Suburban,Single,94,23,34,0,2,Personal Auto,Personal L1,Offer3,Agent,451.20,Four-Door Car,Medsize
DE37110,California,4645.569555,No,Basic,Master,2/13/2011,Employed,M,42532,Rural,Single,118,13,32,0,1,Personal Auto,Personal L3,Offer1,Call Center,200.64,Sports Car,Medsize
DJ93289,California,4887.344366,No,Basic,High School or Below,2/26/2011,Employed,F,66707,Rural,Married,61,19,24,0,8,Personal Auto,Personal L3,Offer4,Agent,71.98,Two-Door Car,Large
AC40767,Washington,2497.808174,No,Basic,Bachelor,2/1/2011,Employed,M,68041,Urban,Single,64,10,47,0,1,Personal Auto,Personal L2,Offer4,Branch,165.57,Two-Door Car,Medsize
GA79817,Arizona,2369.111588,No,Basic,Bachelor,2/5/2011,Unemployed,M,0,Suburban,Single,65,8,91,0,1,Corporate Auto,Corporate L2,Offer3,Call Center,468.00,Four-Door Car,Medsize
QH62059,California,4490.597249,No,Basic,Bachelor,2/17/2011,Unemployed,M,0,Suburban,Divorced,64,26,11,1,7,Personal Auto,Personal L3,Offer1,Web,307.20,Four-Door Car,Medsize
ZS35053,Arizona,3719.247732,No,Extended,High School or Below,1/7/2011,Employed,M,40968,Suburban,Divorced,97,29,53,1,1,Personal Auto,Personal L3,Offer1,Agent,465.60,Four-Door Car,Large
II37804,Nevada,4198.030023,No,Basic,Bachelor,2/8/2011,Employed,M,39913,Urban,Married,106,16,61,0,1,Personal Auto,Personal L3,Offer1,Agent,344.77,SUV,Small
GE63585,California,2420.711888,No,Basic,Bachelor,2/7/2011,Employed,M,31710,Urban,Divorced,62,5,29,0,1,Corporate Auto,Corporate L3,Offer1,Call Center,199.55,Two-Door Car,Medsize
UV86903,California,4462.997006,Yes,Basic,Bachelor,1/30/2011,Unemployed,F,0,Suburban,Single,73,35,52,3,5,Personal Auto,Personal L3,Offer1,Web,350.40,Two-Door Car,Medsize
JL71713,California,6291.655714,No,Extended,Bachelor,1/5/2011,Employed,F,89113,Urban,Married,78,18,68,0,8,Personal Auto,Personal L3,Offer3,Branch,219.36,Four-Door Car,Medsize
DO60145,Arizona,4270.034394,Yes,Extended,College,1/19/2011,Unemployed,M,0,Suburban,Married,122,27,2,0,1,Personal Auto,Personal L3,Offer2,Agent,725.87,SUV,Medsize
FC59209,California,2460.665175,No,Basic,Bachelor,1/9/2011,Unemployed,F,0,Suburban,Married,67,30,13,0,1,Personal Auto,Personal L1,Offer4,Call Center,321.60,Four-Door Car,Large
XQ74827,Arizona,19435.62924,No,Extended,High School or Below,2/1/2011,Employed,F,38688,Suburban,Single,249,22,6,0,3,Special Auto,Special L3,Offer1,Agent,2294.63,Luxury Car,Medsize
EY13576,Oregon,7374.077921,No,Basic,College,1/9/2011,Unemployed,F,0,Suburban,Married,110,19,87,4,3,Personal Auto,Personal L2,Offer1,Web,528.00,SUV,Medsize
US82810,California,18269.53692,No,Extended,Bachelor,1/2/2011,Unemployed,F,0,Suburban,Single,127,18,97,0,2,Corporate Auto,Corporate L3,Offer1,Agent,609.60,SUV,Medsize
RC61383,Oregon,11925.71535,No,Basic,High School or Below,1/17/2011,Employed,M,28014,Suburban,Single,104,14,37,0,2,Personal Auto,Personal L2,Offer4,Branch,631.59,SUV,Small
PO80505,Nevada,4223.274671,No,Basic,College,1/2/2011,Disabled,F,14170,Suburban,Married,109,9,10,0,1,Personal Auto,Personal L3,Offer1,Agent,523.20,SUV,Medsize
MD17521,Oregon,10298.38586,No,Extended,High School or Below,1/31/2011,Employed,M,64825,Urban,Married,129,1,78,0,4,Personal Auto,Personal L3,Offer2,Web,359.48,SUV,Medsize
YV93921,California,5229.741907,No,Basic,Bachelor,2/27/2011,Employed,M,77357,Rural,Single,67,24,38,0,8,Personal Auto,Personal L2,Offer3,Web,29.88,Four-Door Car,Medsize
JP64518,Nevada,2402.81597,No,Basic,Bachelor,1/15/2011,Employed,M,21629,Suburban,Divorced,62,19,54,0,1,Corporate Auto,Corporate L2,Offer1,Call Center,298.63,Two-Door Car,Small
OI98135,Washington,3933.813993,Yes,Basic,High School or Below,1/23/2011,Employed,M,25927,Suburban,Single,103,6,20,0,1,Personal Auto,Personal L3,Offer2,Web,674.97,SUV,Medsize
XS97845,Oregon,4299.838835,No,Premium,College,2/13/2011,Employed,M,44388,Urban,Divorced,113,10,74,1,1,Personal Auto,Personal L2,Offer1,Call Center,496.84,Four-Door Car,Medsize
DL20327,Oregon,7635.554626,No,Basic,College,1/8/2011,Employed,F,54539,Urban,Married,63,5,74,0,2,Personal Auto,Personal L2,Offer3,Agent,287.45,Four-Door Car,Medsize
GD86131,California,2722.210707,Yes,Basic,College,2/2/2011,Medical Leave,F,17576,Suburban,Married,71,29,70,0,1,Corporate Auto,Corporate L2,Offer2,Call Center,398.50,Four-Door Car,Medsize
ID21061,Arizona,7291.599536,No,Extended,Master,2/4/2011,Employed,F,84629,Urban,Married,90,19,17,0,5,Personal Auto,Personal L3,Offer2,Web,411.67,Four-Door Car,Large
EN65835,Arizona,58753.88046,No,Premium,Bachelor,1/6/2011,Employed,F,24964,Suburban,Married,185,0,84,0,2,Personal Auto,Personal L2,Offer2,Agent,888.00,SUV,Medsize
BE65350,Oregon,5261.037541,No,Basic,High School or Below,1/11/2011,Employed,F,43573,Suburban,Married,66,30,64,0,5,Personal Auto,Personal L3,Offer1,Agent,409.68,Two-Door Car,Large
GI82721,Arizona,16938.29858,No,Basic,College,2/21/2011,Unemployed,F,0,Suburban,Single,69,24,99,0,2,Corporate Auto,Corporate L1,Offer1,Branch,340.78,Four-Door Car,Medsize
